Trial,Games Won,Ratio
5000,1079,0.2158
10000,2152,0.2152
15000,3206,0.213733333333
20000,4324,0.2162
25000,5434,0.21736
30000,6537,0.2179
35000,7662,0.218914285714
40000,8766,0.21915
45000,9851,0.218911111111
50000,10962,0.21924
55000,12108,0.220145454545
60000,13200,0.22
65000,14283,0.219738461538
70000,15357,0.219385714286
75000,16451,0.219346666667
80000,17516,0.21895
85000,18609,0.218929411765
90000,19667,0.218522222222
95000,20717,0.218073684211
100000,21792,0.21792
