Trial,Games Won,Ratio
5000,2444,0.4888
10000,4858,0.4858
15000,7199,0.479933333333
20000,9604,0.4802
25000,11897,0.47588
30000,14243,0.474766666667
35000,16632,0.4752
40000,18917,0.472925
45000,21360,0.474666666667
50000,23728,0.47456
55000,26196,0.476290909091
60000,28710,0.4785
65000,31332,0.482030769231
70000,34121,0.487442857143
75000,37173,0.49564
80000,40052,0.50065
85000,43127,0.507376470588
90000,46052,0.511688888889
95000,48411,0.509589473684
100000,53411,0.53411
